weekstatus,day_of_week,load_type,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2_,lagging_current_power_factor,leading_current_power_factor,nsm,usage_kwh
Weekday,Monday,Light_Load,2.95,0.0,0.0,73.21,100.0,900,3.17
Weekday,Monday,Light_Load,4.46,0.0,0.0,66.77,100.0,1800,4.0
Weekday,Monday,Light_Load,3.28,0.0,0.0,70.28,100.0,2700,3.24
Weekday,Monday,Light_Load,3.56,0.0,0.0,68.09,100.0,3600,3.31
Weekday,Monday,Light_Load,4.5,0.0,0.0,64.72,100.0,4500,3.82
Weekday,Monday,Light_Load,3.56,0.0,0.0,67.76,100.0,5400,3.28
Weekday,Monday,Light_Load,4.14,0.0,0.0,65.62,100.0,6300,3.6
Weekday,Monday,Light_Load,4.28,0.0,0.0,64.37,100.0,7200,3.6
Weekday,Monday,Light_Load,3.64,0.0,0.0,66.94,100.0,8100,3.28
Weekday,Monday,Light_Load,4.72,0.0,0.0,62.51,100.0,9000,3.78
Weekday,Monday,Light_Load,4.03,0.0,0.0,65.14,100.0,9900,3.46
Weekday,Monday,Light_Load,3.64,0.0,0.0,66.49,100.0,10800,3.24
Weekday,Monday,Light_Load,4.97,0.0,0.0,62.32,100.0,11700,3.96
Weekday,Monday,Light_Load,3.74,0.0,0.0,66.27,100.0,12600,3.31
Weekday,Monday,Light_Load,3.85,0.0,0.0,65.19,100.0,13500,3.31
Weekday,Monday,Light_Load,5.0,0.0,0.0,61.4,100.0,14400,3.89
Weekday,Monday,Light_Load,3.82,0.0,0.0,65.14,100.0,15300,3.28
Weekday,Monday,Light_Load,4.28,0.0,0.0,63.95,100.0,16200,3.56
Weekday,Monday,Light_Load,4.54,0.0,0.0,63.58,100.0,17100,3.74
Weekday,Monday,Light_Load,3.6,0.0,0.0,67.68,100.0,18000,3.31
Weekday,Monday,Light_Load,4.07,0.0,0.0,65.84,100.0,18900,3.56
Weekday,Monday,Light_Load,4.1,0.0,0.0,65.56,100.0,19800,3.56
Weekday,Monday,Light_Load,3.49,0.0,0.0,68.48,100.0,20700,3.28
Weekday,Monday,Light_Load,4.32,0.0,0.0,65.85,100.0,21600,3.78
Weekday,Monday,Light_Load,3.64,0.0,0.0,67.72,100.0,22500,3.35
Weekday,Monday,Light_Load,3.35,0.0,0.0,69.52,100.0,23400,3.24
Weekday,Monday,Light_Load,4.46,0.0,0.0,65.73,100.0,24300,3.89
Weekday,Monday,Light_Load,3.53,0.0,0.0,68.4,100.0,25200,3.31
Weekday,Monday,Light_Load,3.49,0.0,0.0,68.48,100.0,26100,3.28
Weekday,Monday,Light_Load,4.75,0.0,0.0,62.97,100.0,27000,3.85
Weekday,Monday,Light_Load,3.6,0.0,0.0,66.44,100.0,27900,3.2
Weekday,Monday,Light_Load,3.78,0.0,0.0,65.88,100.0,28800,3.31
Weekday,Monday,Light_Load,4.75,0.0,0.0,62.27,100.0,29700,3.78
Weekday,Monday,Light_Load,3.74,0.0,0.0,65.94,100.0,30600,3.28
Weekday,Monday,Light_Load,4.46,0.18,0.0,61.63,99.87,31500,3.49
Weekday,Monday,Light_Load,0.0,15.66,0.0,100.0,24.11,32400,3.89
Weekday,Monday,Light_Load,0.0,16.96,0.0,100.0,20.76,33300,3.6
Weekday,Monday,Light_Load,0.0,21.28,0.0,100.0,18.61,34200,4.03
Weekday,Monday,Light_Load,0.0,19.22,0.0,100.0,19.98,35100,3.92
Weekday,Monday,Light_Load,0.0,16.88,0.0,100.0,21.08,36000,3.64
Weekday,Monday,Light_Load,0.0,22.32,0.0,100.0,17.94,36900,4.07
Weekday,Monday,Light_Load,0.0,18.0,0.0,100.0,20.19,37800,3.71
Weekday,Monday,Light_Load,0.0,16.92,0.0,100.0,20.81,38700,3.6
Weekday,Monday,Light_Load,0.0,23.4,0.0,100.0,17.71,39600,4.21
Weekday,Monday,Light_Load,0.0,5.65,0.0,100.0,52.55,40500,3.49
Weekday,Monday,Light_Load,0.0,4.82,0.0,100.0,58.31,41400,3.46
Weekday,Monday,Light_Load,0.0,6.7,0.0,100.0,51.26,42300,4.0
Weekday,Monday,Light_Load,0.0,4.57,0.0,100.0,60.69,43200,3.49
Weekday,Monday,Light_Load,0.0,12.89,0.0,100.0,26.9,44100,3.6
Weekday,Monday,Light_Load,0.0,23.15,0.0,100.0,18.06,45000,4.25
Weekday,Monday,Light_Load,0.0,16.67,0.0,100.0,21.5,45900,3.67
Weekday,Monday,Light_Load,0.0,16.63,0.0,100.0,21.55,46800,3.67
Weekday,Monday,Light_Load,0.0,23.33,0.0,100.0,17.92,47700,4.25
Weekday,Monday,Light_Load,0.0,16.74,0.0,100.0,21.25,48600,3.64
Weekday,Monday,Light_Load,0.0,16.99,0.0,100.0,21.11,49500,3.67
Weekday,Monday,Light_Load,0.0,23.4,0.0,100.0,17.99,50400,4.28
Weekday,Monday,Light_Load,0.0,16.67,0.0,100.0,21.33,51300,3.64
Weekday,Monday,Light_Load,0.0,18.25,0.0,100.0,20.28,52200,3.78
Weekday,Monday,Light_Load,0.0,22.1,0.0,100.0,18.24,53100,4.1
Weekday,Monday,Light_Load,0.0,16.7,0.0,100.0,21.3,54000,3.64
Weekday,Monday,Light_Load,0.0,19.33,0.0,100.0,19.87,54900,3.92
Weekday,Monday,Light_Load,0.0,21.35,0.0,100.0,18.86,55800,4.1
Weekday,Monday,Light_Load,0.0,16.81,0.0,100.0,20.94,56700,3.6
Weekday,Monday,Light_Load,0.0,20.45,0.0,100.0,19.01,57600,3.96
Weekday,Monday,Light_Load,0.0,20.77,0.0,100.0,18.91,58500,4.0
Weekday,Monday,Light_Load,0.0,16.81,0.0,100.0,20.94,59400,3.6
